original_code,brand,name,value,price_per_kilo,unit,url,image,supermarket,privateLabel
7751355,BABYLINO,Πάνες Βρακάκι Premium Pants Νο4,10.97,0.29,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Panes-Vrakaki-Moroy/Panes-Vrakaki-Premium-Pants-No4/p/7751355,https://www.ab.gr/medias/sys_master/products/h38/h18/10248218378270.jpg,ab,False
7483419,PAMPERS,Πάνες Μωρού Premium Care Νο2 4-8kg 46 Τεμάχια,10.82,0.24,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Anoichtes-Panes-Moroy/Panes-Moroy-Premium-Care-No2-4-8kg-46-Temachia/p/7483419,https://www.ab.gr/medias/sys_master/products/h6c/h68/10378954473502.jpg,ab,False
7552880,HIPP,Βρεφική Κρέμα Bio Βρώμη Χωρίς Γάλα 200g,4.87,24.35,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Vrefikes-kremes/Vrefiki-Krema-Bio-Vromi-Choris-Gala-200g/p/7552880,https://www.ab.gr/medias/sys_master/products/hf6/h90/10229211168798.jpg,ab,False
7734846,PAMPERS,Πάνες Μωρού Premium Care Νο7 32 Τεμάχια,13.98,0.44,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Anoichtes-Panes-Moroy/Panes-Moroy-Premium-Care-No7-32-Temachia/p/7734846,https://www.ab.gr/medias/sys_master/products/hfe/h19/10378959716382.jpg,ab,False
7534949,NAN,Γάλα Βρεφικό Σκόνη AR 1ης Βρεφικής Ηλικίας 400gr,16.99,42.48,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Gala-rofimata-1is-ilikias/Gala-Vrefiko-Skoni-AR-1is-Vrefikis-Ilikias-400gr/p/7534949,https://www.ab.gr/medias/sys_master/products/h2a/h13/10295465771038.jpg,ab,False
7671671,PAMPERS,Πάνες Μωρού Premium Care Νο1 50 Τεμάχια,10.82,0.22,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Anoichtes-Panes-Moroy/Panes-Moroy-Premium-Care-No1-50-Temachia/p/7671671,https://www.ab.gr/medias/sys_master/products/h44/h98/10378940219422.jpg,ab,False
7303222,NESTLE,Φρουτοπουρές Μήλο Μπανάνα Βρώμη 90gr,1.7,18.89,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Vrefikes-kremes/Froytopoyres-Milo-Mpanana-Vromi-90gr/p/7303222,https://www.ab.gr/medias/sys_master/h28/hf2/9773581631518.jpg,ab,False
7484153,PAMPERS,Πάνες βρακάκι  31 Τεμάχια,12.91,0.42,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Panes-Vrakaki-Moroy/Panes-vrakaki-31-Temachia/p/7484153,https://www.ab.gr/medias/sys_master/products/h82/h9d/10378972463134.jpg,ab,False
7608672,SEPTONA,Μωρομάντηλα Calm N Care Χαμομήλι 80 Τεμάχια,1.59,0.02,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Moromantila/Moromantila-Calm-N-Care-Chamomili-80-Temachia/p/7608672,https://www.ab.gr/medias/sys_master/products/h9f/haf/10113144717342.jpg,ab,False
7653499,PAMPERS,Πάνες Βρακάκι Μωρού Night Pants Νο5 22 Τεμάχια,8.46,0.38,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Panes-Vrakaki-Moroy/Panes-Vrakaki-Moroy-Night-Pants-No5-22-Temachia/p/7653499,https://www.ab.gr/medias/sys_master/products/h96/h42/10378964008990.jpg,ab,False
